Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Oxalis Pharmaceuticals,Pharma | 501-1k Employees | 12 years old | Pune +4 more,3.9,Job Security,Promotions / Appraisal,80,443,3,--,10
Kun Hyundai,Automobile | 51-200 Employees | 26 years old | Chennai +10 more,4.3,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,80,472,1,--,5
Asia Motor Works,Auto Components | 1k-5k Employees | 22 years old | Mumbai +14 more,4.0,"Salary & Benefits, Work Life Balance, Job Security",,80,246,1,--,13
WHSmith,Retail | 201-500 Employees | 232 years old | Swindon +15 more,4.4,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,80,274,3,--,8
MPMKVVCL,Government | 10k-50k Employees (Global) | Public | 22 years old | Bhopal +20 more,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",,80,224,1,--,9
Orient Blackswan,Printing & Publishing | 501-1k Employees | 76 years old | Hyderabad +18 more,4.4,"Work Life Balance, Job Security, Salary & Benefits",,80,325,4,--,14
Indu Projects,Engineering & Construction | 1k-5k Employees | 23 years old | Hyderabad +12 more,4.0,"Company Culture, Work Satisfaction, Skill Development / Learning",,80,272,--,--,10
Securonix,Internet | 1k-5k Employees | 17 years old | Addison +3 more,2.8,"Work Life Balance, Work Satisfaction, Company Culture",,80,680,7,3,10
Techtree It Systems,IT Services & Consulting | 51-200 Employees | 18 years old | Noida +6 more,2.7,"Salary & Benefits, Job Security, Promotions / Appraisal",,80,584,3,5,5
SISA Information Security,Hardware & Networking | 201-500 Employees | 21 years old | Bangalore +13 more,2.9,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,80,741,5,23,9
Josh Software,IT Services & Consulting | 201-500 Employees | Dallas +1 more,3.1,"Promotions / Appraisal, Job Security, Salary & Benefits",,80,749,6,13,7
SoftProdigy System Solutions,IT Services & Consulting | 201-500 Employees | 18 years old | Mohali +1 more,4.5,"Company Culture, Skill Development / Learning, Job Security",,80,309,2,4,9
Transdyne IT Services,IT Services & Consulting | 51-200 Employees | 22 years old | Hyderabad/Secunderabad +5 more,3.4,"Job Security, Company Culture, Work Life Balance",Salary & Benefits,80,246,7,6,15
Safety Circle,Facility Management Services | 201-500 Employees | 20 years old | Chandigarh +16 more,3.6,Skill Development / Learning,,80,318,7,2,10
East West Seeds,FMCG | 51-200 Employees | 42 years old | Nonthaburi +19 more,4.5,"Company Culture, Skill Development / Learning, Work Satisfaction",,80,349,4,--,9
CL MICROMED,Medical Equipment | 51-200 Employees | 37 years old | New Delhi +10 more,3.9,Job Security,Promotions / Appraisal,80,186,2,--,11
Ars Traffic And Transport Technology,IT Services & Consulting | 51-200 Employees | 27 years old | Nassaulaan +10 more,2.7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,80,490,2,9,5
China Steel Corporation,Metals & Mining | 51-200 Employees | 53 years old | Kaohsiung  +3 more,4.3,"Work Life Balance, Job Security, Company Culture",,80,470,1,--,8
WEBSOL ENERGY SYSTEMS,Semiconductors | 201-500 Employees | Public | 34 years old | Falta +3 more,3.5,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",80,290,1,--,11
HES Infra,Engineering & Construction | 201-500 Employees | 17 years old | Hyderabad +9 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,80,318,1,--,11
Jhajharia Nirman Limited,201-500 Employees | Public | 16 years old | New Delhi +25 more,4.1,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,80,443,4,--,17
Smartchem Technologies,Agro Chemicals | 51-200 Employees | Public | 37 years old | Pune +22 more,3.8,"Promotions / Appraisal, Work Satisfaction, Company Culture",,80,437,2,--,18
Das Writing Services,Internet | 51-200 Employees | 13 years old | Kolkata +1 more,3.9,"Skill Development / Learning, Company Culture, Work Life Balance",,80,157,9,2,16
Vhb Medi Sciences,Pharma | 1k-5k Employees | 78 years old | Mumbai +3 more,3.9,"Promotions / Appraisal, Salary & Benefits",,80,417,4,--,6
Solenis,Chemicals | 51-200 Employees | 117 years old | Wilmington +7 more,4.0,"Work Life Balance, Salary & Benefits, Company Culture",,80,580,5,--,9
BG LIIN Electrical,51-200 Employees | 25 years old | Aurangabad +5 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security",80,363,4,--,11
Sarda Metals & Alloys,Metals & Mining | 201-500 Employees | Public | 51 years old | Raipur +5 more,4.3,"Job Security, Work Life Balance",Promotions / Appraisal,80,398,8,--,4
Erection Instrumentation,Pharma | 201-500 Employees (Global) | Central | 23 years old | New Delhi +16 more,3.8,"Work Satisfaction, Skill Development / Learning, Company Culture",Salary & Benefits,80,395,2,--,6
CISB,Law Enforcement & Security | 1k-5k Employees | 20 years old | Mumbai +30 more,4.1,Work Life Balance,,80,375,2,--,8
Jss Pro Services,Financial Services | 51-200 Employees | 42 years old | Hyderabad/Secunderabad +3 more,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",,80,437,12,6,11
Fourth Partner Energy,Power | 201-500 Employees | 14 years old | Hyderabad +11 more,4.2,"Work Life Balance, Company Culture, Job Security",,80,518,7,3,12
codeMantra,IT Services & Consulting | 201-500 Employees | 20 years old | Burlington +1 more,3.3,"Job Security, Company Culture, Promotions / Appraisal",,80,731,4,2,6
Louis Dreyfus Commodities,501-1k Employees | 27 years old | Rotterdam +10 more,4.1,"Company Culture, Work Life Balance, Job Security",,80,687,2,12,30
Deepak Novochem Technologies,Chemicals | 51-200 Employees | 17 years old | Pune +3 more,4.1,Job Security,,80,603,5,--,11
Bundy India,Auto Components | 501-1k Employees | Gurgaon / Gurugram +9 more,4.0,"Company Culture, Work Satisfaction, Work Life Balance",,80,531,1,--,14
Gvk Power & Infrastructure,Aviation | 1k-5k Employees | Public | 19 years old | Hyderabad/Secunderabad +12 more,3.9,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",80,528,1,--,12
Sms Envocare,Waste Management | 51-200 Employees | 21 years old | Nagpur +11 more,4.1,"Work Life Balance, Job Security, Skill Development / Learning",,80,470,1,--,10
Nipro Medical,Healthcare | 501-1k Employees | 70 years old | Osaka +24 more,4.0,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",80,440,3,--,6
Ruban Memorial Hospital,Healthcare | 501-1k Employees | 24 years old | Patna +1 more,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",,80,278,5,5,18
Consultancy Services,Recruitment | 11-50 Employees | 14 years old | Rajkot +29 more,4.0,"Work Life Balance, Company Culture, Skill Development / Learning",,80,1.8k,5,2,10
Gainwell Technologies,IT Services & Consulting | 501-1k Employees | 15 years old | Virginia +9 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,80,762,5,44,8
Conde Nast India,Printing & Publishing | 201-500 Employees | 17 years old | New York +4 more,3.5,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",80,1k,5,23,16
ProProfs,Software Product | 51-200 Employees | 14 years old | San Francisco +1 more,3.6,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",80,467,3,39,11
Via.com,Media & Entertainment | 201-500 Employees | 19 years old | New York City +11 more,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",80,451,2,15,6
Trustline Securities,Investment Banking / Venture Capital / Private Equity | 501-1k Employees | 29 years old | Noida +19 more,4.5,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,80,351,1,10,11
Meghmani Group,Dahej +8 more,3.5,"Promotions / Appraisal, Job Security, Skill Development / Learning",,80,255,4,2,4
DLV Software,IT Services & Consulting | 11-50 Employees | Hyderabad / Secunderabad,4.0,"Skill Development / Learning, Work Satisfaction, Company Culture",Salary & Benefits,80,67,--,--,31
Merkle,1k-5k Employees | Bangalore / Bengaluru +7 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",80,865,4,1,2
Tracks Components,1k-5k Employees | 22 years old | Gurgaon +7 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,80,674,9,--,11
Learnbay,Bangalore / Bengaluru +2 more,4.0,"Salary & Benefits, Company Culture, Work Life Balance",,80,238,1,1,2
Sequretek It Solutions,Emerging Technologies | 201-500 Employees | Startup | 11 years old | Mumbai +6 more,3.6,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",,80,981,4,23,6
ATPI,Travel & Tourism | 51-200 Employees | 22 years old | London +4 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,80,719,4,10,11
Golcha Associated Group,Metals & Mining | 1k-5k Employees | 69 years old | Jaipur +9 more,3.9,"Promotions / Appraisal, Salary & Benefits",,80,418,3,6,12
Axis Asset Management Company,Financial Services | 1k-5k Employees | 15 years old | Mumbai +33 more,4.3,"Skill Development / Learning, Work Life Balance, Company Culture",,80,421,2,1,3
Galderma,Healthcare | 201-500 Employees | 43 years old | Lausanne +21 more,3.6,Salary & Benefits,"Job Security, Promotions / Appraisal",80,287,1,10,11
IG Infotech India,IT Services & Consulting | 201-500 Employees | 20 years old | London +4 more,4.0,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,80,625,8,24,14
Ecolab Digital Center,IT Services & Consulting | 501-1k Employees | Bangalore / Bengaluru +2 more,3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",80,934,11,34,10
Trinity Touch,Electrical Equipment | 51-200 Employees | 26 years old | New Delhi +7 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,80,597,1,22,11
Tricon Infotech,IT Services & Consulting | 201-500 Employees | 27 years old | Bangalore/Bengaluru +3 more,3.9,"Salary & Benefits, Work Life Balance",,80,1.2k,6,7,5
SAL STEEL,Iron & Steel | 201-500 Employees | Public | 21 years old | Gurgaon/Gurugram +8 more,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",80,508,3,6,10
ETP International,Power | 51-200 Employees | 36 years old | Singapore +3 more,3.5,"Work Life Balance, Work Satisfaction, Salary & Benefits",,80,527,3,9,18
RFCL,Agro Chemicals | 201-500 Employees | 9 years old | Delhi +5 more,3.5,Job Security,"Skill Development / Learning, Promotions / Appraisal, Company Culture",79,471,9,--,4
Kingdom of Dreams,Media & Entertainment | 501-1k Employees (Global) | 14 years old | Gurgaon +3 more,3.5,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",,79,321,2,--,15
BPO Systems,IT Services & Consulting | 51-200 Employees (Global) | 24 years old | Walnut Creek +28 more,4.0,"Work Satisfaction, Job Security, Skill Development / Learning",,79,1k,11,--,15
Mahaveer Group,Real Estate | 11-50 Employees | 26 years old | Bengaluru +11 more,3.1,"Promotions / Appraisal, Job Security, Salary & Benefits",,79,496,9,--,8
C & C Constructions,Engineering & Construction | 201-500 Employees | Public | 28 years old | Gurgaon +16 more,4.0,"Work Life Balance, Company Culture, Work Satisfaction",,79,319,--,--,10
Worldwide Oilfield Machine,Oil & Gas | 51-200 Employees | 44 years old | Houston +2 more,4.3,Job Security,"Promotions / Appraisal, Salary & Benefits",79,538,3,--,--
SRIT,IT Services & Consulting | 501-1k Employees | 25 years old | Bangalore/Bengaluru +17 more,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,79,701,3,--,12
Scott Edil Pharmacia,Pharma | 51-200 Employees | Public | 28 years old | Chandigarh +3 more,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",,79,520,6,--,8
Renishaw,Industrial Automation | 201-500 Employees | 51 years old | Wotton-under-edge +3 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,79,568,9,2,13
Tiwana Oil Mills,Food Processing | 501-1k Employees | 25 years old | Fatehgarh Sahib +24 more,4.0,Skill Development / Learning,"Promotions / Appraisal, Job Security, Work Life Balance",79,269,3,2,9
ALBANY MOLECULAR RESEARCH INC,Pharma | 201-500 Employees | 33 years old | Albany +4 more,4.3,"Work Life Balance, Company Culture, Salary & Benefits",,79,283,3,2,15
Goddres Pharmaceuticals,Pharma | 51-200 Employees | 13 years old | Mumbai +13 more,3.3,"Promotions / Appraisal, Job Security, Salary & Benefits",,79,163,2,--,20
S Mobile Devices,Consumer Electronics & Appliances | 51-200 Employees | 12 years old | Noida +14 more,4.3,"Job Security, Company Culture, Work Satisfaction",,79,264,--,1,8
Mgm Hospital,Healthcare | 501-1k Employees | 7 years old | Chennai +13 more,4.1,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",79,401,3,1,10
RFCL,Agro Chemicals | 201-500 Employees | 9 years old | Delhi +5 more,3.5,Job Security,"Skill Development / Learning, Promotions / Appraisal, Company Culture",79,471,9,--,4
Viom Networks,Telecom | 1k-5k Employees | 14 years old | Gurgaon +25 more,4.2,"Job Security, Salary & Benefits",,79,152,2,--,9
Saviance Technologies,IT Services & Consulting | 51-200 Employees | 25 years old | Metuchen +4 more,4.6,"Work Life Balance, Company Culture, Work Satisfaction",,79,137,2,--,10
Synergy Systems & Solutions,Industrial Automation | 51-200 Employees | 30 years old | Faridabad +13 more,4.0,Skill Development / Learning,,79,445,6,2,8
Ori-Plast,Petrochemicals | 201-500 Employees | 59 years old | Kolkata +13 more,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,79,331,4,--,8
Fourth Dimension Technologies,IT Services & Consulting | 51-200 Employees | 35 years old | Chennai +11 more,3.9,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",79,672,8,7,8
Lotus Valley International School,Education & Training | 201-500 Employees | 20 years old | Noida +6 more,3.7,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance",79,352,5,--,13
Sumitomo Mitsui Banking Corporation,Financial Services | 201-500 Employees | 23 years old | New York +3 more,2.7,Job Security,"Work Satisfaction, Company Culture, Skill Development / Learning",79,679,6,28,12
Alps Industries,Fashion & Textile | 201-500 Employees | Public | 62 years old | Ghaziabad +7 more,3.6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,79,477,--,1,6
Manikgarh Cement,Building Material | 201-500 Employees | 37 years old | Chandrapur +11 more,4.5,"Skill Development / Learning, Company Culture, Work Life Balance",,79,213,2,--,11
Renu Electronics,Industrial Automation | 51-200 Employees | 33 years old | Pune +3 more,3.8,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,79,505,2,6,7
Good Health Tpa Services,Insurance | 1k-5k Employees | 21 years old | Hyderabad +13 more,3.9,"Promotions / Appraisal, Salary & Benefits, Job Security",,79,342,4,--,7
Manipal Group,Healthcare | 5k-10k Employees | 71 years old | Bangalore/Bengaluru +16 more,4.0,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,79,836,6,13,14
Lotus Valley International School,Education & Training | 201-500 Employees | 20 years old | Noida +6 more,3.7,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Work Life Balance",79,352,5,--,13
Sparsh BPO Services,BPO | 10k-50k Employees | Public | 46 years old | Mumbai +18 more,3.9,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,79,252,1,--,5
Srmb Steel,Iron & Steel | 501-1k Employees | 73 years old | Kolkata +17 more,3.3,"Work Satisfaction, Company Culture, Promotions / Appraisal",,79,338,5,--,6
Arkade Group,Real Estate | 51-200 Employees | 38 years old | Mumbai +4 more,4.7,"Company Culture, Work Satisfaction, Job Security",,79,186,4,--,5
Sobha Engineering Contracting,Engineering & Construction | 1k-5k Employees (Global) | 21 years old | Dubai +9 more,3.9,"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal, Salary & Benefits",79,290,4,--,12
Delhi Integrated Multi Modal Transit System,Urban Transport | 501-1k Employees | 18 years old | Delhi/NCR +10 more,3.9,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",79,456,4,2,10
Driplex Water Engineering,Waste Management | 201-500 Employees | 50 years old | New Delhi +14 more,4.1,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,79,373,3,--,8
Freudenberg Gala Household Product,Consumer Electronics & Appliances | 51-200 Employees | 15 years old | Mumbai +14 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,79,335,4,--,18
Alice Blue Commodities,FinTech | 501-1k Employees | 18 years old | Bangalore/Bengaluru +18 more,3.5,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,79,552,--,17,10
BESIX,Engineering & Construction | 115 years old | Woluwe-Saint-Lambert +9 more,4.4,"Work Satisfaction, Company Culture, Skill Development / Learning",,79,167,1,--,10
Fitkids Education and Training,Education & Training | 51-200 Employees | 15 years old | Bangalore +11 more,3.1,"Job Security, Salary & Benefits, Promotions / Appraisal",,79,235,1,--,8
Kyocera Document Solutions India,Printing & Publishing | 201-500 Employees | 90 years old | Osaka +20 more,3.8,"Promotions / Appraisal, Work Satisfaction, Company Culture",,79,545,2,1,12
Fourth Dimension Technologies,IT Services & Consulting | 51-200 Employees | 35 years old | Chennai +11 more,3.9,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",79,672,8,7,8
Andhra Petrochemicals,Chemicals / Agri Inputs | 501-1k Employees | Public | 40 years old | Tanuku +3 more,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",79,346,3,1,7
SeedWorks International,Agriculture | 201-500 Employees | 26 years old | Hyderabad +25 more,4.3,"Work Life Balance, Skill Development / Learning, Company Culture",,79,339,4,1,6
Accord Software & Systems,Software Product | 201-500 Employees | 33 years old | Bangalore/Bengaluru +3 more,3.8,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",79,880,5,--,8
Goqii,Fitness & Wellness | 51-200 Employees | Startup | 10 years old | Mumbai +10 more,3.6,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security",79,335,3,16,5
Vertexplus Technologies,IT Services & Consulting | 51-200 Employees | 14 years old | Jaipur +5 more,2.3,"Promotions / Appraisal, Salary & Benefits, Job Security",,79,550,3,2,5
Myanatomy Integration,Recruitment | 51-200 Employees | 8 years old | bangalore +3 more,4.6,"Work Satisfaction, Company Culture, Work Life Balance",,79,125,3,1,4
Aloft Hotels,Hospitality | 1-10 Employees | 17 years old | Bangalore +11 more,3.7,"Company Culture, Job Security","Work Life Balance, Promotions / Appraisal, Work Satisfaction",79,368,2,--,12
SDP & Associates (Office),Accounting & Auditing | 51-200 Employees | 31 years old | Kolkata +7 more,3.0,"Promotions / Appraisal, Work Life Balance, Job Security",,79,256,4,--,18
Insurance Company,Real Estate | 10k-50k Employees | Harbor City +36 more,3.9,"Company Culture, Job Security, Skill Development / Learning",,79,2.3k,4,7,6
FINNEW SOLUTIONS,Financial Services | 201-500 Employees | 9 years old | Bangalore/Bengaluru +26 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,79,489,--,1,6
Ceipal,Software Product | 201-500 Employees | Hyderabad / Secunderabad +6 more,3.3,"Job Security, Work Satisfaction, Promotions / Appraisal",,79,684,5,13,8
Allyis India,IT Services & Consulting | 201-500 Employees | 28 years old | Hyderabad +1 more,3.1,"Skill Development / Learning, Job Security, Promotions / Appraisal",,79,581,7,--,6
JPM Group,Auto Components | Gurgaon / Gurugram +10 more,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",,79,585,4,--,4
Hsbc bank Hdpi,Hyderabad / Secunderabad +8 more,4.1,"Job Security, Work Life Balance, Company Culture",,79,164,4,--,2
Sourcedesk Global,IT Services & Consulting | 51-200 Employees | 14 years old | Toronto +1 more,4.3,"Work Satisfaction, Company Culture, Skill Development / Learning",,79,142,2,11,19
iTech India,IT Services & Consulting | 201-500 Employees | 21 years old | Chennai +10 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",79,557,2,22,8
Qarmatek Services,Facility Management Services | 11-50 Employees | 13 years old | Ahmedabad +8 more,3.4,"Job Security, Promotions / Appraisal, Salary & Benefits",,79,459,9,2,4
Mymd Healthcare,Internet | 51-200 Employees | Kolkata +6 more,3.2,"Promotions / Appraisal, Job Security, Work Satisfaction",,79,189,2,2,1
CARS24 Financial Services,Gurgaon / Gurugram +20 more,3.0,"Promotions / Appraisal, Job Security, Work Life Balance",,79,392,5,--,6
Apollo Cradle,501-1k Employees | 12 years old | Hyderabad +10 more,4.0,"Job Security, Salary & Benefits, Work Life Balance",,79,323,2,--,6
BPO Systems,IT Services & Consulting | 51-200 Employees (Global) | 24 years old | Walnut Creek +28 more,4.0,"Work Satisfaction, Job Security, Skill Development / Learning",,79,1k,11,--,15
Moolya Software Testing,IT Services & Consulting | 501-1k Employees | 14 years old | Bengaluru/Bangalore +5 more,4.0,"Company Culture, Skill Development / Learning, Work Life Balance",,79,653,8,5,19
Kingdom of Dreams,Media & Entertainment | 501-1k Employees (Global) | 14 years old | Gurgaon +3 more,3.5,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",,79,321,2,--,15
Shiv Nadar University,Education & Training | 501-1k Employees | 13 years old | Noida +9 more,4.3,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,79,564,4,4,13
C & C Constructions,Engineering & Construction | 201-500 Employees | Public | 28 years old | Gurgaon +16 more,4.0,"Work Life Balance, Company Culture, Work Satisfaction",,79,319,--,--,10
Advance Auto Parts,Auto Components | 201-500 Employees | Forbes Global 2000 | 92 years old | Roanoke +1 more,3.6,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,79,841,7,--,20
AbsolutData,IT Services & Consulting | 201-500 Employees | 23 years old | Alameda +4 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,79,1.2k,8,31,9
SoftNice,IT Services & Consulting | 501-1k Employees | 23 years old | Allentown +6 more,3.6,"Job Security, Promotions / Appraisal, Skill Development / Learning",,79,568,5,25,11
Kingfisher Airlines,Aviation | 1k-5k Employees | Public | 21 years old | Mumbai +18 more,4.6,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning",79,262,3,--,15
Sher-I-Kashmir Institute of Medical Sciences,Healthcare | 201-500 Employees | Public | 47 years old | Srinagar +4 more,4.5,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",,79,205,3,--,3
ALBANY MOLECULAR RESEARCH INC,Pharma | 201-500 Employees | 33 years old | Albany +4 more,4.3,"Work Life Balance, Company Culture, Salary & Benefits",,79,283,3,2,15
Tiwana Oil Mills,Food Processing | 501-1k Employees | 25 years old | Fatehgarh Sahib +24 more,4.0,Skill Development / Learning,"Promotions / Appraisal, Job Security, Work Life Balance",79,269,3,2,9
Sharadha Terry Products,Fashion & Textile | 1k-5k Employees | 32 years old | Coimbatore +8 more,3.5,"Salary & Benefits, Promotions / Appraisal, Job Security",,79,367,2,4,11
S Mobile Devices,Consumer Electronics & Appliances | 51-200 Employees | 12 years old | Noida +14 more,4.3,"Job Security, Company Culture, Work Satisfaction",,79,264,--,1,8
Mgm Hospital,Healthcare | 501-1k Employees | 7 years old | Chennai +13 more,4.1,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",79,401,3,1,10
SVG Express Services,BPO | 1k-5k Employees (Global) | 22 years old | Jaipur +14 more,3.5,"Promotions / Appraisal, Job Security, Salary & Benefits",,79,271,3,--,4
Scott Edil Pharmacia,Pharma | 51-200 Employees | Public | 28 years old | Chandigarh +3 more,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",,79,520,6,--,8
Renishaw,Industrial Automation | 201-500 Employees | 51 years old | Wotton-under-edge +3 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,79,568,9,2,13
Bhash Software Labs,Software Product | 11-50 Employees | 10 years old | Chennai +3 more,3.6,,,79,166,7,7,26
Bangalore Metro Rail Corporation,Urban Transport | 201-500 Employees | Central | 13 years old | Bengaluru +3 more,3.9,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",79,518,3,--,11
BHARAT TECHNO PLAST,Auto Components | 51-200 Employees (Global) | 32 years old | Mumbai +6 more,3.8,"Work Life Balance, Job Security, Work Satisfaction",,79,385,3,--,14
Goddres Pharmaceuticals,Pharma | 51-200 Employees | 13 years old | Mumbai +13 more,3.3,"Promotions / Appraisal, Job Security, Salary & Benefits",,79,163,2,--,20
Dhanuka Laboratories,Pharma | 201-500 Employees | Delhi +6 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,79,483,3,--,4
Radiant Hitech Eng,Industrial Machinery | 45 years old | Vadodara +7 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,79,305,--,--,9
Jolly Containers,Petrochemicals | 51-200 Employees | 57 years old | Mumbai +10 more,4.1,"Skill Development / Learning, Job Security",,79,470,6,6,8
Mindbody,IT Services & Consulting | 201-500 Employees | 23 years old | San Luis Obispo,3.4,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning",79,630,6,32,10
Daksh eServices,BPO | 501-1k Employees | Gurgaon / Gurugram +9 more,3.7,Job Security,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",79,210,1,--,13
Tata Steel Mining,Metals & Mining | 201-500 Employees | 20 years old | Bhubaneswar +15 more,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",79,375,11,--,16
RICE GROUP,Education & Training | 1k-5k Employees (Global) | 39 years old | Kolkata +9 more,3.1,"Promotions / Appraisal, Job Security, Work Life Balance",,79,345,3,--,6
U&D Square Solutions,IT Services & Consulting | 51-200 Employees | 23 years old | Pune +2 more,3.7,"Job Security, Skill Development / Learning, Work Life Balance",,79,347,5,--,9
Trinity Engineers,Automobile | 201-500 Employees | 51 years old | Pune +10 more,4.1,"Skill Development / Learning, Job Security, Company Culture",Salary & Benefits,79,510,7,--,8
Panasonic Energy India Co,Auto Components | 501-1k Employees | Public | 52 years old | Vadodara +15 more,3.7,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,79,490,4,--,8
Pooja Forge,Industrial Machinery | 51-200 Employees | Public | 38 years old | Faridabad +3 more,3.8,"Salary & Benefits, Promotions / Appraisal, Company Culture",,79,426,4,--,8
Rhydburg Pharmaceuticals,Pharma | 51-200 Employees | Public | 37 years old | Delhi/NCR +4 more,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,79,352,5,2,11
Usha Fire Safety Equipments,Industrial Machinery | 51-200 Employees | 36 years old | Chennai +14 more,3.5,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",79,538,5,--,9
Premier Irrigation Adritec,Agriculture | 501-1k Employees | Public | 59 years old | Kolkata +19 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",79,312,4,--,7
Planit Testing India,IT Services & Consulting | 201-500 Employees | 27 years old | Sydney +4 more,3.6,Skill Development / Learning,"Promotions / Appraisal, Company Culture",79,1k,7,9,17
CR3,Facility Management Services | 501-1k Employees | Jamnagar +6 more,4.1,"Skill Development / Learning, Salary & Benefits, Job Security",,79,338,5,--,1
Zynova Shalby Multispecialty Hospitals,Healthcare | 201-500 Employees | 3 years old | Mumbai +1 more,4.7,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,79,2,--,--,2
Ice Mortgage Technology,Software Product | 501-1k Employees | Public | 24 years old | Atlanta +1 more,4.2,"Work Life Balance, Company Culture, Job Security",,79,788,6,3,15
Agon IT Solutions,51-200 Employees | Hyderabad / Secunderabad,4.4,"Work Life Balance, Company Culture, Job Security",,79,1.5k,3,--,22
CAPLIN STERILES,11-50 Employees | 5 years old | Chennai +2 more,3.1,"Job Security, Company Culture, Work Satisfaction",,79,678,3,3,9
Integrace Health,Pharma | 501-1k Employees | 6 years old | Mumbai +17 more,3.5,Salary & Benefits,"Work Life Balance, Job Security, Work Satisfaction",79,281,7,--,7
